Timestamp,Source IP,Destination IP,Alert,Category
2026-03-13T19:08:52.730655+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730597+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746158+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730656+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730597+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746159+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746131+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730610+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746176+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746139+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730617+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.669191+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746199+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746151+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.669211+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746201+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746176+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.669212+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730623+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.746191+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.776933+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.669217+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.730627+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.761407+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.776933+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
2026-03-13T19:08:52.776941+0000,192.168.8.1,192.168.8.168,SYN port33 scan detected,Suspicious Activity
